Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Bat
SE Gregory (Aus),1893-1912,24,34,2,835,112,26.09,2,2,1,5
JV Coney (NZ),1980-1986,20,26,1,581,73,23.24,0,5,2,5
LRD Mendis (SL),1982-1987,15,21,1,458,124,22.9,1,3,1,5
S Chanderpaul (WI),1994-2014,34,42,8,2237,147*,65.79,6,15,1,6
Imran Khan (Pak),1974-1992,21,23,8,928,118,61.86,2,6,0,6
IR Bell (Eng),2006-2015,30,36,10,1500,140,57.69,6,8,2,6
Saleem Malik (Pak),1982-1999,34,36,8,1591,119*,56.82,4,8,0,6
AB de Villiers (SA),2005-2013,36,46,3,2371,217*,55.13,5,14,0,6
GS Sobers (WI),1955-1974,42,57,8,2614,174,53.34,8,11,4,6
AR Border (Aus),1978-1994,48,63,14,2556,153,52.16,6,17,5,6
MEK Hussey (Aus),2005-2012,18,26,2,1242,150*,51.75,5,4,2,6
MS Dhoni (India),2006-2014,15,21,1,1025,224,51.25,2,6,1,6
SR Waugh (Aus),1985-2003,66,79,17,3165,177*,51.04,6,16,7,6
VVS Laxman (India),1996-2011,47,62,10,2619,154*,50.36,5,19,3,6
RT Ponting (Aus),1995-2004,33,44,5,1958,197,50.2,7,8,6,6
AD Mathews (SL),2009-2015,33,49,9,1996,160,49.9,4,11,1,6
CH Lloyd (WI),1968-1985,40,47,4,2114,161*,49.16,6,13,2,6
DR Martyn (Aus),1992-2002,22,28,5,1113,133,48.39,4,6,4,6
KD Walters (Aus),1965-1981,34,45,6,1869,250,47.92,6,9,1,6
MJ Clarke (Aus),2004-2013,16,20,3,806,151,47.41,3,3,0,6
HP Tillakaratne (SL),1989-2004,48,64,11,2503,204*,47.22,6,10,3,6
Asad Shafiq (Pak),2010-2015,33,47,4,2026,137,47.11,6,11,2,6
JV Coney (NZ),1974-1987,34,48,9,1772,174*,45.43,2,10,1,6
MAK Pataudi (India),1962-1973,18,21,2,862,153,45.36,3,4,1,6
PD Collingwood (Eng),2003-2011,22,26,3,1009,135,43.86,3,5,1,6
SR Tendulkar (India),1989-2008,15,20,3,745,148*,43.82,2,4,1,6
Asif Iqbal (Pak),1965-1980,31,45,5,1750,166,43.75,6,6,4,6
CG Borde (India),1959-1968,20,25,4,918,177*,43.71,1,4,3,6
AW Greig (Eng),1972-1977,45,67,4,2741,148,43.5,7,15,2,6
SC Ganguly (India),1997-2008,33,43,5,1600,147,42.1,4,10,5,6
BA Stokes (Eng),2013-2016,17,29,0,1198,258,41.31,3,5,3,6
JN Rhodes (SA),1992-2000,34,47,5,1728,117,41.14,3,12,1,6
GS Blewett (Aus),1995-1999,18,28,2,1024,214,39.38,2,6,2,6
Yuvraj Singh (India),2003-2012,27,41,4,1435,169,38.78,3,9,4,6
CL Hooper (WI),1987-2002,24,35,3,1236,178*,38.62,3,5,2,6
