Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Bat
CV Grimmett (Aus),1928-1936,21,24,4,311,50,15.55,0,1,5,9
RR Lindwall (Aus),1946-1960,29,37,3,528,100,15.52,1,2,8,9
TG Southee (NZ),2008-2015,27,46,4,650,56,15.47,0,2,6,9
PM Siddle (Aus),2009-2015,24,28,4,371,51,15.45,0,2,7,9
WW Hall (WI),1960-1967,14,20,2,272,37,15.11,0,0,1,9
Wasim Bari (Pak),1969-1983,26,30,5,376,72,15.04,0,1,4,9
PL Harris (SA),2007-2010,26,26,4,329,46,14.95,0,0,3,9
SK Warne (Aus),1992-2006,46,52,4,700,47,14.58,0,0,7,9
RC Motz (NZ),1961-1969,21,31,0,444,60,14.32,0,3,7,9
PAJ DeFreitas (Eng),1986-1995,22,26,2,341,55*,14.2,0,1,2,9
JA Snow (Eng),1965-1976,24,33,4,410,73,14.13,0,1,7,9
AV Bedser (Eng),1946-1954,23,26,5,293,37,13.95,0,0,6,9
MG Hughes (Aus),1989-1993,19,20,1,258,36,13.57,0,0,0,9
D Gough (Eng),1994-2003,24,28,3,333,65,13.32,0,2,5,9
HMRKB Herath (SL),1999-2015,39,56,11,593,49,13.17,0,0,13,9
NBF Mann (SA),1947-1951,15,22,1,276,52,13.14,0,1,4,9
A Kumble (India),1993-2008,41,40,4,470,88,13.05,0,3,5,9
PH Edmonds (Eng),1975-1987,20,22,3,248,48,13.05,0,0,1,9
S Venkataraghavan (India),1966-1979,21,27,4,295,64,12.82,0,1,3,9
KAJ Roach (WI),2011-2016,13,21,2,243,29,12.78,0,0,0,9
Harbhajan Singh (India),1999-2013,44,52,5,601,63,12.78,0,3,8,9
CJ McDermott (Aus),1985-1995,27,36,3,419,42*,12.69,0,0,7,9
GF Lawson (Aus),1980-1989,27,35,7,340,57*,12.14,0,1,3,9
CEL Ambrose (WI),1988-2000,72,97,16,973,53,12.01,0,1,22,9
FS Trueman (Eng),1957-1965,33,40,3,443,37,11.97,0,0,4,9
Mushtaq Ahmed (Pak),1990-2003,17,23,2,248,48*,11.8,0,0,3,9
JE Taylor (WI),2003-2015,22,30,2,327,31,11.67,0,0,5,9
DK Lillee (Aus),1974-1983,28,37,5,369,28,11.53,0,0,3,9
Z Khan (India),2001-2014,45,61,6,634,57*,11.52,0,2,14,9
VA Holder (WI),1969-1979,18,23,2,241,36*,11.47,0,0,3,9
GP Wickramasinghe (SL),1992-2001,17,26,2,271,51,11.29,0,1,8,9
ATW Grout (Aus),1957-1966,24,29,2,296,66*,10.96,0,1,6,9
EAS Prasanna (India),1967-1978,28,43,8,380,37,10.85,0,0,7,9
GD McKenzie (Aus),1963-1971,27,39,6,347,59,10.51,0,1,10,9
Umar Gul (Pak),2004-2013,28,37,4,342,65*,10.36,0,1,8,9
AR Caddick (Eng),1993-2003,20,29,3,253,48,9.73,0,0,7,9
Mashrafe Mortaza (Ban),2003-2009,15,24,1,217,63,9.43,0,1,9,9
Waqar Younis (Pak),1990-2003,32,42,5,341,39,9.21,0,0,8,9
DL Underwood (Eng),1969-1982,19,24,0,220,30,9.16,0,0,5,9
MJ Hoggard (Eng),2002-2008,34,38,9,239,38,8.24,0,0,7,9
Saqlain Mushtaq (Pak),1995-2004,17,22,1,145,34,6.9,0,0,7,9
M Dillon (WI),1999-2004,18,24,0,164,30,6.83,0,0,10,9
DBL Powell (WI),2002-2009,19,24,1,149,36*,6.47,0,0,9,9
PM Pollock (SA),1964-1970,15,20,7,292,41,22.46,0,0,1,10
FS Trueman (Eng),1953-1965,25,26,7,400,39*,21.05,0,0,2,10
DK Lillee (Aus),1971-1983,26,30,10,381,73*,19.05,0,1,3,10
SK Warne (Aus),1992-1998,17,21,5,303,37,18.93,0,0,2,10
SB Doull (NZ),1993-2000,17,25,6,347,46,18.26,0,0,5,10
SCJ Broad (Eng),2007-2016,21,20,6,250,37,17.85,0,0,5,10
Sarfraz Nawaz (Pak),1972-1984,18,23,3,352,90,17.6,0,2,2,10
CEL Ambrose (WI),1988-2000,20,28,10,311,30,17.27,0,0,2,10
A Kumble (India),1990-2008,20,21,7,235,29*,16.78,0,0,3,10
GAR Lock (Eng),1952-1968,18,21,5,267,56,16.68,0,2,2,10
M Morkel (SA),2006-2015,27,25,6,306,35*,16.1,0,0,2,10
VA Holder (WI),1969-1979,19,26,6,319,42,15.95,0,0,3,10
NS Yadav (India),1979-1987,27,30,10,313,43,15.65,0,0,2,10
BC Strang (Zim),1995-2001,16,23,6,265,42,15.58,0,0,2,10
WW Hall (WI),1958-1969,30,41,10,462,50,14.9,0,1,5,10
PM Siddle (Aus),2009-2015,26,27,5,321,38,14.59,0,0,4,10
GRA Langley (Aus),1951-1956,16,22,8,204,53,14.57,0,1,2,10
Iqbal Qasim (Pak),1977-1988,26,30,9,304,45*,14.47,0,0,3,10
D Gough (Eng),1994-2001,20,29,8,297,39*,14.14,0,0,7,10
JN Gillespie (Aus),1996-2005,34,34,13,283,46,13.47,0,0,7,10
EAS Prasanna (India),1968-1976,16,23,8,202,25*,13.46,0,0,3,10
SCG MacGill (Aus),1998-2006,21,24,3,279,43,13.28,0,0,6,10
DK Morrison (NZ),1987-1996,23,32,13,248,42,13.05,0,0,9,10
DW Steyn (SA),2006-2015,42,45,8,478,76,12.91,0,1,7,10
MA Holding (WI),1979-1986,24,26,4,283,69,12.86,0,2,6,10
CJ McDermott (Aus),1984-1996,37,39,7,409,35,12.78,0,0,6,10
Wasim Bari (Pak),1967-1984,22,25,11,174,37*,12.42,0,0,5,10
Waqar Younis (Pak),1990-2002,30,41,5,443,45,12.3,0,0,7,10
JR Thomson (Aus),1972-1985,24,35,10,302,44,12.08,0,0,11,10
M Ntini (SA),2000-2009,36,35,7,333,32*,11.89,0,0,7,10
DL Underwood (Eng),1966-1982,39,49,18,362,31,11.67,0,0,8,10
SJ Harmison (Eng/ICC),2002-2009,33,43,10,381,39,11.54,0,0,12,10
AME Roberts (WI),1974-1983,20,26,5,233,68,11.09,0,1,4,10
Z Khan (India),2001-2014,33,36,7,321,45,11.06,0,0,6,10
J Srinath (India),1994-2002,20,23,5,197,52*,10.94,0,1,7,10
RS Cunis (NZ),1964-1972,15,22,6,175,27,10.93,0,0,4,10
M Muralitharan (SL),1992-2010,40,47,11,383,36,10.63,0,0,8,10
AV Bedser (Eng),1946-1955,18,24,7,177,27*,10.41,0,0,3,10
GG Arnold (Eng),1972-1975,15,20,3,176,27,10.35,0,0,3,10
HMRKB Herath (SL),2004-2015,16,20,6,144,34*,10.28,0,0,3,10
MS Kasprowicz (Aus),1996-2006,32,43,9,348,25,10.23,0,0,4,10
RGD Willis (Eng),1971-1984,32,50,12,388,26,10.21,0,0,5,10
JW Gleeson (Aus),1968-1972,21,35,6,293,45,10.1,0,0,11,10
Mushtaq Ahmed (Pak),1990-2003,20,23,7,159,26,9.93,0,0,3,10
Shahadat Hossain (Ban),2005-2012,19,28,5,213,33,9.26,0,0,4,10
AA Donald (SA),1992-2001,43,53,14,360,37,9.23,0,0,9,10
RO Collinge (NZ),1965-1978,17,21,5,145,32,9.06,0,0,5,10
BS Bedi (India),1966-1978,46,69,17,470,50*,9.03,0,1,15,10
JM Anderson (Eng),2004-2016,46,48,11,331,29,8.94,0,0,8,10
IE O'Brien (NZ),2005-2009,17,26,4,195,31,8.86,0,0,6,10
Shoaib Akhtar (Pak),1998-2007,20,25,3,191,37,8.68,0,0,5,10
Danish Kaneria (Pak),2000-2010,16,20,3,146,26*,8.58,0,0,6,10
CA Walsh (WI),1986-2001,42,55,13,351,30*,8.35,0,0,13,10
FH Edwards (WI),2003-2012,25,37,10,217,30,8.03,0,0,6,10
I Sharma (India),2008-2015,36,40,8,250,31*,7.81,0,0,11,10
RM Hogg (Aus),1979-1984,21,29,8,162,14*,7.71,0,0,6,10
CD Collymore (WI),1999-2007,15,20,8,92,13*,7.66,0,0,3,10
JB Statham (Eng),1951-1963,22,31,5,192,22,7.38,0,0,4,10
J Garner (WI),1978-1987,29,29,6,169,37*,7.34,0,0,8,10
Mahmood Hussain (Pak),1952-1962,16,21,4,121,22,7.11,0,0,4,10
GP Wickramasinghe (SL),1993-2000,16,25,2,162,28,7.04,0,0,7,10
AR Caddick (Eng),1994-2002,27,35,3,221,20,6.9,0,0,6,10
S Ramadhin (WI),1950-1959,24,33,12,135,16*,6.42,0,0,8,10
SF Barnes (Eng),1901-1914,18,23,6,107,26*,6.29,0,0,7,10
ARC Fraser (Eng),1989-1998,26,30,7,119,17,5.17,0,0,6,10
PT Collins (WI),1999-2006,13,21,3,48,10,2.66,0,0,9,10
NM Lyon (Aus),2011-2016,42,39,25,290,40*,20.71,0,0,2,11
DL Underwood (Eng),1966-1981,22,27,17,182,45*,18.2,0,0,3,11
WA Johnston (Aus),1947-1955,30,33,22,159,28,14.45,0,0,4,11
TA Boult (NZ),2012-2016,32,43,21,317,38*,14.4,0,0,7,11
JR Thomson (Aus),1974-1985,19,24,10,201,24*,14.35,0,0,0,11
JB Statham (Eng),1951-1965,44,46,21,348,36*,13.92,0,0,9,11
AA Donald (SA),1992-2002,25,32,17,204,32,13.6,0,0,6,11
HJ Howarth (NZ),1969-1976,16,21,14,93,17*,13.28,0,0,1,11
RGD Willis (Eng),1971-1984,60,78,43,452,28*,12.91,0,0,7,11
AA Mailey (Aus),1920-1926,17,22,8,171,46*,12.21,0,0,2,11
J Srinath (India),1991-2002,19,20,10,122,31,12.2,0,0,1,11
SJ Harmison (Eng),2002-2009,26,29,10,225,42,11.84,0,0,6,11
AN Connolly (Aus),1963-1971,25,38,17,234,37,11.14,0,0,8,11
M Muralitharan (ICC/SL),1992-2009,75,90,39,557,43,10.92,0,0,20,11
I Sharma (India),2007-2015,34,39,27,130,23,10.83,0,0,8,11
T Richardson (Eng),1894-1898,12,21,7,149,25*,10.64,0,0,3,11
CEH Croft (WI),1977-1982,21,24,17,74,17*,10.57,0,0,3,11
JM Anderson (Eng),2003-2016,60,79,40,363,81,9.3,0,1,11,11
M Ntini (SA),1998-2009,62,74,36,341,22*,8.97,0,0,12,11
FJ Cameron (NZ),1961-1965,18,29,19,89,12,8.9,0,0,4,11
S Sreesanth (India),2006-2011,16,21,8,115,35,8.84,0,0,5,11
EJ Chatfield (NZ),1975-1989,43,52,31,176,21*,8.38,0,0,11,11
Mohammad Asif (Pak),2005-2010,19,26,12,115,29,8.21,0,0,6,11
GR Dilley (Eng),1980-1989,22,28,11,139,28,8.17,0,0,6,11
BS Bedi (India),1968-1979,22,27,11,130,22,8.12,0,0,5,11
NG Cowans (Eng),1982-1985,19,27,7,158,36,7.9,0,0,5,11
TM Alderman (Aus),1981-1991,35,42,20,173,23,7.86,0,0,7,11
C Blythe (Eng),1901-1910,15,23,9,107,20,7.64,0,0,3,11
GD McGrath (Aus),1993-2007,115,127,49,590,61,7.56,0,1,32,11
MJ Hoggard (Eng),2000-2007,19,23,12,82,17*,7.45,0,0,5,11
CA Walsh (WI),1984-2001,87,120,47,542,30,7.42,0,0,27,11
CD Collymore (WI),2003-2007,16,26,17,66,16*,7.33,0,0,7,11
ARC Fraser (Eng),1994-1998,14,21,8,95,32,7.3,0,0,2,11
M Morkel (SA),2010-2016,22,26,6,146,35*,7.3,0,0,9,11
SP Gupte (India),1952-1961,24,23,10,94,17*,7.23,0,0,3,11
Sikander Bakht (Pak),1976-1983,18,24,11,94,22*,7.23,0,0,3,11
AJ Bell (SA),1929-1935,15,20,11,63,26*,7,0,0,5,11
BP Patterson (WI),1986-1992,28,37,16,145,21*,6.9,0,0,7,11
H Strudwick (Eng),1910-1926,19,25,11,96,18,6.85,0,0,3,11
M Hendrick (Eng),1974-1981,24,28,15,89,10*,6.84,0,0,6,11
Danish Kaneria (Pak),2000-2010,45,57,28,193,29,6.65,0,0,17,11
DVP Wright (Eng),1946-1951,16,21,5,105,15*,6.56,0,0,6,11
Rubel Hossain (Ban),2009-2015,14,23,12,72,17,6.54,0,0,4,11
ND Hirwani (India),1988-1996,17,21,12,54,17,6,0,0,4,11
HK Olonga (Zim),1995-2002,18,25,8,102,22*,6,0,0,8,11
BKV Prasad (India),1996-2001,22,26,13,72,10*,5.53,0,0,6,11
MS Panesar (Eng),2006-2013,38,52,22,163,26,5.43,0,0,15,11
DE Malcolm (Eng),1989-1997,35,49,17,172,18,5.37,0,0,14,11
PCR Tufnell (Eng),1990-2001,33,42,23,96,19*,5.05,0,0,11,11
PR Adams (SA),1995-2001,24,28,8,100,29,5,0,0,6,11
LR Gibbs (WI),1963-1976,51,71,34,183,17,4.94,0,0,10,11
JD Higgs (Aus),1978-1981,18,27,14,64,11,4.92,0,0,4,11
AL Valentine (WI),1950-1962,33,46,20,128,14,4.92,0,0,11,11
BA Reid (Aus),1986-1992,22,28,13,73,8*,4.86,0,0,5,11
FH Edwards (WI),2003-2012,27,34,16,83,21,4.61,0,0,9,11
BS Chandrasekhar (India),1964-1979,58,75,38,164,22,4.43,0,0,19,11
NAT Adcock (SA),1953-1960,24,35,12,100,17,4.34,0,0,8,11
DR Doshi (India),1979-1983,32,36,9,117,20,4.33,0,0,14,11
N Pradeep (SL),2011-2015,16,28,9,71,17*,3.73,0,0,9,11
Maninder Singh (India),1983-1989,28,30,11,64,15,3.36,0,0,9,11
CN McCarthy (SA),1948-1951,15,23,15,23,4*,2.87,0,0,6,11
JV Saunders (Aus),1902-1908,14,21,6,36,11*,2.4,0,0,8,11
CS Martin (NZ),2000-2013,62,95,46,107,7,2.18,0,0,33,11
M Mbangwa (Zim),1996-2000,15,24,8,34,8,2.12,0,0,8,11
